id,name,furigana,english_name,description,avatar,public,color,position
75,愛園愛美,あいぞのまなみ,Manami Aizono,"メイド喫茶で働くお姉さん。
意味深な言動でお客さんを惑わす存在。
色々とセンシティブだが、TPOをわきまえられる常識人な一面も。",https://s3-ap-northeast-1.amazonaws.com/liver-icons/400x400/Manami_Aizono_20200228.png,1,#f98fb7,570
88,相羽ういは,あいばういは,Uiha Aiba,バーチャル世界に現れた新人アイドル。アイドルとして経験を積み、将来的には多岐に渡って活躍したいと考えている。好きな食べ物はお菓子と紅茶。,https://s3-ap-northeast-1.amazonaws.com/liver-icons/400x400/Uiha_Aiba_20200717.png,1,#324cac,560
4,赤羽葉子,あかばねようこ,Youko Akabane,18歳の女子高生3年。学校ではチャラく、ギャルに近い身なりやしゃべり方をしているが、本当はアニメゲーム漫画好きの隠れオタク。百合が大好きで、オタク仲間には女子の皮を被ったおっさんだと比喩される。,https://s3-ap-northeast-1.amazonaws.com/liver-icons/400x400/Akabane_Youko.png,1,#CA636C,530
121,アクシア・クローネ,あくしあ・くろーね,Axia Krone,"機動歩兵部隊「スローンズ」のパイロット。
稼いだ金は貧しい人のために使っていて、常に金欠。",https://liver-icons.s3.ap-northeast-1.amazonaws.com/400x400/Axia_Krone.png,1,#00a6fe,10170
117,朝日南アカネ,あさひなあかね,Akane Asahina,この春から学院高等部に通う1年生。4月に中等部から高等部へ進学した。　　元気が取り柄で、人懐っこい。,https://s3-ap-northeast-1.amazonaws.com/liver-icons/400x400/Akane_Asahina.png,1,#B7282E,10130
55,飛鳥ひな,あすかひな,Hina Asuka,17歳の高校2年生。総合病院の院長の一人娘でありマイペースな性格。グミ好き。熱中すると早口になる。思いつきを形にするのが得意で文章を読んだり書いたりするのが好き。,https://s3-ap-northeast-1.amazonaws.com/liver-icons/400x400/Asuka_Hina.png,1,#FAD8DC,840
28,安土桃,あづちもも,Momo Azuchi,"バーチャルクリエイターを目指している。特に絵を描くことが好き。
配信をやるために適当に付けた名前なので本名は別にあり、歴史のことはあまり知らない様子。
胸とうさ耳はホログラムだという噂も…？
イメージカラーはピンクと黄緑。年齢は秘密にしたいらしい。",https://s3-ap-northeast-1.amazonaws.com/liver-icons/400x400/Momo_Aduchi.png,1,#F295CE,830
91,天宮こころ,あまみやこころ,Kokoro Amamiya,"「龍」と対話できる一族の巫女。
箱入り娘として育てられてきたため、
配信活動を通して世の中のことを学んでいる。
自由奔放で自分の好きなことに正直な頑張り屋さん。",https://s3-ap-northeast-1.amazonaws.com/liver-icons/400x400/Kokoro_Amamiya_20200901.png,1,#c5edff,660
53,雨森小夜,あめもりさよ,Sayo Amemori,図書委員を務める高校生。物静かなそうな見た目とは裏腹に、意外とお喋り好き。放送部に参加しており、その際は顔が見えないことをいいことに普段とは全く違うテンションで話すことも多い。緊張するとセーラー服のスカーフを触る癖がある。,https://s3-ap-northeast-1.amazonaws.com/liver-icons/400x400/Amemori_Sayo.png,1,#756F7D,580
87,アルス・アルマル,あるす・あるまる,Ars Almal,駆け出しの魔法使い。魔法使いの世界は色々と大変らしく、その息抜きとして配信活動を行っている。,https://s3-ap-northeast-1.amazonaws.com/liver-icons/400x400/Ars_Almal_200601.png,1,#7fd6e2,220
70,アンジュ・カトリーナ,あんじゅ・かとりーな,Ange Katrina,ボロボロの小屋で時間を忘れて錬金術の研究に明け暮れている。大人っぽい女性的な体に憧れており、実はその研究をしているとかしていないとか。,https://s3-ap-northeast-1.amazonaws.com/liver-icons/400x400/Ange_Katrina.png,1,#c83c35,130
9,家長むぎ,いえながむぎ,Mugi Ienaga,"17歳の高校1年生。中学を留年している。
食べることが大好きだが、料理が壊滅的に下手。よくゴミ袋と猫を間違えてしまう。友達を作りたくて配信を始めた。",https://s3-ap-northeast-1.amazonaws.com/liver-icons/400x400/Ienaga_Mugi.png,1,#ff899d,420
71,戌亥とこ,いぬいとこ,Toko Inui,寂れた和風喫茶で働く女の子。店長の趣味でメイド服を着せられている。足下に見え隠れする尻尾が本物かどうかは、触れた人のみぞ知る。満月の夜は何か不思議な事が起きるらしい？,https://s3-ap-northeast-1.amazonaws.com/liver-icons/400x400/Inui_Toko.png,1,#9d3757,210
